USER_ID;LAST_NAME;START_WORK;END_WORK
186;ROMANOVA;6;16
187;GORBACHEV;4;18
188;Gorbunova;15;14
189;Mishina;5;23
190;Ignatov;18;1
191;Guryev;5;20
192;Kudryashova;8;1
193;Timofeev;4;8
194;Fokin;4;2
195;Kirillov;2;0
196;KULAKOVKIN;22;10
197;Kalobkov;14;10
198;Ryabov;8;4
199;Fomin;0;12
200;Konovalov;11;20
201;Merkusheva;11;18
202;Sharapov;10;11
203;Ermakova;1;3
204;Gorbunov;0;16
205;Baranova;11;13
206;Naumov;3;10
207;Yershov;2;18
208;Loginov;10;22
209;Koshelev;8;7
210;Likhachev;15;4
211;Kozlov;21;5
212;Tikhonova;2;12
213;Panova;10;14
214;Nazarova;9;9
215;Ovchinnikov;11;10
216;Koroliov;18;13
217;GYREVA;7;22
218;Kryukov;11;12
219;Ponomareva;6;13
220;Alexandrova;8;10
221;Efremov;23;21
222;Kulikova;8;15
223;Simonova;2;15
224;Ivanova;22;11
225;Zhdanova;16;1
226;Mamontova;0;20
227;Isaev;8;6
228;Gruzniy;0;12
229;Efremova;15;5
230;Uvarov;20;8
231;Timofeeva;11;5
232;Rozhkov;6;8
233;Rusakova;23;16
234;Gromova;4;10
235;Yakovlev;10;4
236;Bobrov;10;23
237;Bobrova;4;12
238;Kulagina;16;12
239;Yudin;18;21
240;NoszovaGA;23;8
241;Alexandrov;9;23
242;Zhukova;6;18
243;Kirillova;1;18
244;Dorofeev;20;15
245;SLTarasov;19;13
246;Vinogradova;10;5
247;Zhuravleva;3;15
248;Novikova;9;16
249;Afanasyev;4;1
250;Eliseev;12;20
251;Maksimova;2;15
252;Kondratiev;12;6
253;Moiseeva;13;8
254;Kalashnikova;9;22
255;Vyshniakova;11;7
256;Antonova;9;14
257;Evseev;4;16
258;Sergeeva;2;5
259;Gusev;18;21
260;Petukhova;6;11
261;Usmanova;11;18
262;Ponomarev;12;20
263;Rozhkova;15;15
264;Danilova;17;18
265;Kovaleva;15;3
266;Zhdanov;12;23
267;Kondrateva;11;1
268;Ustinov;16;7
269;Ratnikov;17;14
270;AFANASIEVA;11;12
271;Lukina;22;17
272;Bobylev;4;16
273;Borisov;16;1
274;Moiseev;9;0
275;Brandstetter;22;17
276;Sidorova;7;14
277;Konstantinova;6;20
278;Maslova;7;21
279;Merkushev;16;16
280;Khokhlova;1;12
281;Petukhov;22;17
282;Konstantinov;3;13
283;Ershova;23;4
284;Fokina;13;19
285;Belyaeva;4;5
286;Lobanova;19;6
287;Knyazev;14;20
288;Vlasova;11;19
289;Dementyev;10;20
290;Kazakov;1;13
291;Lytkina;12;21
292;Kabanov;18;23
293;Tarasova;10;17
294;Jdanov;12;12
295;Zimina;0;19
296;Alekseeva;17;6
297;Novikov;10;18
298;Kabanova;6;17
299;Kudryavtsev;5;20
300;Tretyakova;22;13
301;SILINA;11;21
302;Shubina;21;22
303;Sharova;14;2
304;Panov;12;18
305;Teterina;11;5
306;Pakhomov;14;7
307;Morozova;4;22
308;Saveliev;18;18
309;Fedoseeva;10;14
310;Bolshakova;3;0
311;Lazarev;13;2
312;Kolobkov;17;3
313;Boriskin;23;8
314;Fokin;13;9
315;Maslov;21;2
316;Lobanov;22;7
317;Konstantinov;4;6
318;Molchanov;19;14
319;Veselov;18;17
320;Zakharova;10;8
321;Lytkina;2;0
322;Sergeev;9;21
323;NoszovaGA;9;1
324;Odintsov;3;11
325;Lapina;4;4
326;BelyaevStreet;21;4
327;Fedoseeva;3;16
328;Danilova;16;16
329;Lobanova;0;22
330;Suvorov;22;5
331;Kopylov;9;23
332;Fadeeva;13;2
333;Sharova;12;11
334;Vlasova;14;16
335;Golubev;1;9
336;Anisimov;8;11
337;Sitnikova;8;13
338;Sukhanova;20;3
339;Zhuravleva;9;19
340;Prokhorova;15;21
341;Kononov;16;22
342;Yakovlev;0;18
343;Danilov;23;21
344;Guseva;4;8
345;Gavrilova;14;13
346;Rollers;14;9
347;Teterina;19;14
348;Isaev;13;0
349;Kuznetcov;17;9
350;Ovchinnikova;22;3
351;Fedotov;21;6
352;Magomedov;19;21
353;Nikirehno;23;15
354;Danilov;2;5
355;Yershov;20;2
356;Kozlov;4;20
357;Kolesnikova;12;20
358;Evdokimova;19;13
359;Fedorov;6;7
360;Blinov;7;2
361;Zakharova;19;11
362;Kulakov;20;6
363;Kolesnikov;18;1
364;GAVRILOV;22;15
365;Nikiforov;8;4
366;Novikova;21;10
367;Borodov;16;14
368;Dmitriev;14;17
369;Merkushev;13;7
370;Pestova;15;2
371;Efimova;4;22
372;Volkov;7;20
373;Kulikova;18;23
374;Kalinina;20;12
375;Andreeva;14;17
376;Kalashnikova;3;4
377;Yakovleva;4;12
378;Vyshniakova;11;11
379;Golubeva;18;7
380;Shilova;18;21
381;Kolobova;21;17
382;Osipov;18;7
383;GALKIN;17;16
384;Yakovlev;1;11
385;Kuznetsova;1;0
386;Bragina;3;21
387;Ermakov;17;23
388;Osipov;20;14
389;Rollers;0;7
390;SAVELIEVA;12;12
391;Rogova;2;1
392;Kondratiev;15;6
393;Seliverstova;9;3
394;Ivanov;3;17
395;Gerasimova;2;12
396;Evseev;1;8
397;Shashkova;5;14
398;Solovyeva;20;19
399;Fedoseev;8;18
400;Seleznev;9;18
401;Samoilov;23;20
402;Guryev;20;8
403;Eliseev;1;4
404;Kharitonov;7;3
405;Kazakova;22;19
406;Medvedev;21;20
407;Polyakov;10;8
408;Kopylov;7;15
409;Simonov;11;20
410;Chernov;4;9
411;Konstantinova;14;17
412;Gorshkov;23;17
413;Golubev;1;20
414;Zueva;10;2
415;Sidorov;12;0
416;SHESTAKOVA;0;13
417;Timofeev;23;13
418;Ustinov;5;12
419;Kovalev;19;10
420;Bogdanova;1;16
421;Belov;22;18
422;Vorobyev;1;7
423;Nekrasov;16;4
424;Mishin;13;3
425;Yegorova;10;16
426;Gavrilova;5;13
427;Fadeev;2;4
428;Isakova;7;3
429;Stepanov;7;18
430;Gushchin;16;19
431;Polyakov;14;12
432;Kulikova;2;18
433;Gornunov;20;2
434;Sorokin;20;7
435;Goosev;15;10
436;Borisovkin;19;8
437;Kopilkin;12;1
438;Kuzmin;17;11
439;Prokhorova;2;0
440;Pakhomov;6;11
441;Artemyev;9;19
442;Safonova;15;23
443;Bogdanova;4;10
444;Emelyanov;14;2
445;Mamontova;7;10
446;KULAKOVA;8;8
447;Makarova;12;6
448;Agafonova;17;5
449;Noskov;17;2
450;Galzelkin;8;17
451;Shubina;6;2
452;Makarova;21;4
453;Titova;22;23
454;Kulagina;15;17
455;Abramov;3;16
456;Popova;9;8
457;Gorshkov;15;18
458;Bespalova;15;0
459;Kolobov;23;14
460;Shcherbakova;15;7
461;AFANASIEVA;1;22
462;Komarova;2;23
463;Nikituk;14;11
464;Sorokina;8;7
465;Sukhanova;3;21
466;Bobrov;4;23
467;Shcherbakov;16;17
468;Zhukov;10;15
469;Anisimov;4;3
470;Nesterov;4;20
471;Krylov;6;9
472;Sukhanova;15;4
473;Gazmanov;7;7
474;Kharitonov;15;11
475;Karpov;15;14
476;BLOKHIN;3;17
477;Fedotova;18;6
478;Mishin;8;10
479;Alexandrova;5;14
480;Bogdanova;5;3
481;Gordeev;22;21
482;Micheev;0;19
483;Nikitinkov;17;2
484;Fedoseeva;8;19
485;Morozova;21;6
486;Teterina;13;5
487;Panov;15;19
488;Gavrilova;2;9
489;Davydova;7;5
490;Larionov;17;16
491;Evseeva;7;5
492;Yershov;16;20
493;Sidorov;18;23
494;Sobolev;20;9
495;Abrachenko;10;19
496;Fedosenko;10;14
497;Nikiforova;15;10
498;Evdokimov;5;20
499;ROMANOV;22;1
500;Sidorovkin;5;16
